title,brand,category,price,date,rating,num_of_ratings,link,description
"Russell Hobbs 300W 600ml Mix and Go Personal Blender Smoothie Maker, 21350-56",Russell Hobbs,blenders,2499.0,2023-01-09,4.3,4242,https://www.amazon.eg/-/en/Russell-Hobbs-Personal-Smoothie-21350-56/dp/B00IJOFQBM/ref=sr_1_155?qid=1673220874&refinements=p_72%3A21909187031&s=home-garden&sr=1-155,"Product description                      Quickly blend your favorite ingredients to make a glass of healthy shake, thanks to the Russell Hobbs 21350-56 Mix And Go Blender. The unique auto-start design does not require any switches. You can press to pulse and twist the container to blend. This Russell Hobbs blending appliance comes with two 600ml bottles in which you can pour the refreshing drink so that you can have it on the go. These bottles also contain unique cool tubes that rest inside the bottle so that you can have a nice, cold and fresh drink even hours after blending. In addition to this, you can also put the Russell Hobbs blender and its attachments in a dishwasher for effective and quick cleaning. Furthermore, the sturdy and non-slip rubber feet provide stability to the appliance.                         Key Features                         300 Watts                         2 x 600ml bottles                         2 x Drink bottle lids                         2 x Cool tubes                         Pressure activated auto start                         Dishwasher safe parts                         Nonslip rubber feet for stability                         Auto-start Design                         This Russell Hobbs blending appliance boasts of a unique design. You do not have to press any switch for making the appliance work. You can simply press the top of this appliance for making it pulse and twist it for blending.                         Drink on the Go                         This Russell Hobbs blender comes with two storing bottles. You can pour the freshly blended smoothie, yogurt, or juice in these bottles so that you can have the drink on the go if you are in a hurry.                         Innovative Cool Tube                         The two 600ml storage cups of this Russell Hobbs blending appliance have an innovative cool tube inside them. These tubes keep the stored drink chilled. Thus, your smoothie or juice remains fresh and cold even if you have it a few hours after packing it in the bottle."
"Black & Decker 1.7L Concealed Coil Kettle, Jc70-B5, White, Plastic Material",Black & Decker,electric kettles,1230.0,2023-01-09,4.4,546,https://www.amazon.eg/-/en/Black-Decker-Concealed-Jc70-B5-Material/dp/B07MVSTKCV/ref=sr_1_7?qid=1673225027&refinements=p_72%3A21909187031&rnid=21863961031&s=home-garden&sr=1-7,"Product description                     Model Number : JC70-B5Type : Electric KettleCapacity : 1.7 LiterMaterial : PlasticColor : WhiteBrand : Black &amp; Decker220-240V 50/60Hz 1850-2200WCapacity 1.7LPP water window in one side , BPA free 2 Years warranty 19311 Anasia Egypt"
"Soulhand Pour Over Kettle with Thermometer | Stovetop Gooseneck Kettle Coffee Pot | Update 3-Layer Stainless Steel Bottom Anti-Rust Design Pour Over Coffee Kettle for Electric, Induction | 40oz/1.2L",SOUL HAND,electric kettles,374.0,2023-01-09,4.5,956,https://www.amazon.eg/-/en/Thermometer-Gooseneck-Stainless-Anti-Rust-Induction/dp/B07HH67G18/ref=sr_1_18?qid=1673225029&refinements=p_72%3A21909187031&rnid=21863961031&s=home-garden&sr=1-18,"Product description                     Tired of deliberate life? Here is the sense of ambience and ritual you are looking for In soulhand, no cup of coffee will disappoint you What tickles your soul ? For us, it’s bringing a bean to life, and transforming it into that perfect cup of liquid black gold - coffee. Soulhand was conceived to assist in the process of bean-to-brew. Our wares cater to both novice and expert alike, distilling the complexities of coffee-making into an accessible art form. Like an invisible guiding hand, our intuitive design grants each user their ideal cup, just the way they like it, every time. For any bean, for any profile - think soulhand. FEATURES: - Complex triple –layer base, can maintain rust-free status for more than ten years - Integrated Thermometer For Gauging The Optimal Temperature (195-205°F) - 1.2 Liter at Full Capacity (We Recommend 0.8Liter to Avoid Overflow) - Easy to Pour Spout for Precise Water Flow. - Easy to Hold Ergonomic Handle. - Heat-Resistant Handle to Avoid Getting Burned. - Durable Surgical-Grade Stainless Steel Construction. - Airtight Lid to Avoid Any Potential Spills. SPECIFICATION: - Material : Stainless Steel - Handle / Knob of lid Material : Plastic - Size: 10.8 * 5.6 *6.3in /27.5*14.3*16 cm - Full Capacity: 1.2 Liter/40 floz - Practical Capacity: 0.8 Liter/27 floz NOTE: - Please use insulated gloves. - Don't use when full of water. - Don't boil water when it is dry. - Please keep out of reach of children. PACKAGE INCLUDED: 1* Pour Over Kettle 1* Manual"
"Braun WK300 Multiquick 3 Kettle, Black",Braun,electric kettles,2499.0,2023-01-09,4.2,1014,https://www.amazon.eg/-/en/Braun-WK300-Multiquick-Kettle-Black/dp/B005013GYQ/ref=sr_1_20?qid=1673225029&refinements=p_72%3A21909187031&rnid=21863961031&s=home-garden&sr=1-20,"Product description                     Braun water kettles combine a unique Braun design with a rapid boiling system for ultimate performance. With the Braun water kettle boiling water is fast, easy and safe. Its German Technology guarantees that you can expect excellent performance day after day. Rapid boil system The Rapid boil system boils water in 35 45 seconds* *35 seconds for WK 500 200 mL *45 seconds for WK 300 200 mL Unique 4 way safety system This system provides extra safety for use in your home. The kettle switches off automatically when kettle is empty, water is boiled, the lid is opened or the water kettle is removed from its base. Anti scale filter The anti scale filter is removable and washable. Easy filling system The Multiquick water kettle can be filled directly from the tap through its large spout. It has a capacity of 1.6 liters. Convenient handling The on off switch and button for opening the lid are in easy reach. The Multiquick water kettle is also designed for both right and left handers. It has two symmetrical water level indicators and the jug can be placed on the 360 ° from every side. German technology Guaranteed reliability Power Power: 2200 W Auto power off: Y Features Water tank capacity: 1.6 L Colour of product: Black Water level indicator: Y Overheat protection: Y Filtering: Y Cord storage: Y 360 ° rotational base: Y"
Xiaomi MiJia Smart Temperature Control Kettle - White,Xiaomi,electric kettles,2700.0,2023-01-09,4.4,902,https://www.amazon.eg/-/en/Xiaomi-MiJia-Temperature-Control-Kettle/dp/B07DYGVHMH/ref=sr_1_29?qid=1673225029&refinements=p_72%3A21909187031&rnid=21863961031&s=home-garden&sr=1-29,"Product description                      Xiaomi Kettle is made from high-quality GB9684 standard 304 stainless steel. Boil water in just 5 minutes with this Xiaomi MiJia Kettle. Prepare a glass of warm water in just five minutes with the Xiaomi MiJia Smart Temperature Control Kettle. It is best suited for busy people who can daily heat up a cup of water in just no time. The ergonomic design and high-quality construction offers durability and looks. This intelligent, functional device offers easy-to-use functionality. With just a press of a button, this kettle lets you boil water in five minutes. It is made from high-quality GB9684 standard 304 stainless steel. All the more, it comes with an optimized power connector that offers complete safety. You can also brew your green tea. The 304 stainless steel by seamless casting has a smooth, and even surface offers easy cleaning. Also, it has a handy cover lock design.                         Key Features                         Capacity:1.5L                         rated frequency: 50Hz                         Rated voltage: 220V                         Rated power: 1800W                         Bluetooth 4.0 BLE                         White.                         Fast Boiling                         Boil your water in just five minutes with the use of this Xiaomi MiJia Smart Temperature Control Kettle. With a heating capacity element of 1800W, this kettle heats up water from the bottom up quite evenly and quickly. Just press a button and get warm water in no time.                         304 Stainless Steel Alloy                         This water kettle boasts the high quality GB9684 standard 304 stainless steel. The said material is widely used in the medical industry and does not rust or absorb any odors. It is harmless and can be easily cleaned.                         Triple Protection For your Safety                         This kettle boasts an optimized power connector that lets you connect to any power source without any apprehensions. Even if water is scattered accidentally, the plug is designed in a way that doesn’t allow water to flow down to it. Lastly, the Xiaomi MiJia has a boil dry function, which switches off the kettle in case there is no water in the container and prevents accidents."
Caso WK 2200 - electric kettles (50/60 Hz),Caso,electric kettles,2100.0,2023-01-09,4.3,240,https://www.amazon.eg/-/en/Caso-WK-2200-electric-kettles/dp/B010TLUIC4/ref=sr_1_42?qid=1673225031&refinements=p_72%3A21909187031&rnid=21863961031&s=home-garden&sr=1-42,Product description                     Caso WK 2200 - electric kettles (50/60 Hz)
"Hario Gooseneck Coffee Kettle 'Buono', Stovetop, 1.2L, Stainless Steel, Silver",HARIO,electric kettles,400.0,2023-01-09,4.5,9341,https://www.amazon.eg/-/en/Gooseneck-Coffee-Kettle-Stovetop-Stainless/dp/B000IGOXLS/ref=sr_1_63?qid=1673225033&refinements=p_72%3A21909187031&rnid=21863961031&s=home-garden&sr=1-63,
"DeLonghi EC 685.BK Pump Espresso and Coffee Machine - Black, ( International Warranty )",DeLonghi,espresso machines,6862.0,2023-01-09,4.4,6341,https://www.amazon.eg/-/en/DeLonghi-685-BK-Espresso-Coffee-Machine/dp/B06X3Z9MF3/ref=sr_1_1?qid=1673220480&refinements=p_72%3A21909187031&rnid=21864088031&s=home-garden&sr=1-1,Product description                        Brand: Delonghi                             Package weight (Kg): 4.2                             Product Code: EC685.BK                             Type: Espresso Machine                             Beverage Form: Beans
Delonghi Espresso Machine - Silver Ec685.M ( International Warranty ),DeLonghi,espresso machines,6750.0,2023-01-09,4.3,13744,https://www.amazon.eg/-/en/Delonghi-Espresso-Machine-International-Warranty/dp/B06WGTZ874/ref=sr_1_2?qid=1673220480&refinements=p_72%3A21909187031&rnid=21864088031&s=home-garden&sr=1-2,"Product description                     Dedica pump espresso - ec 685. M Flexibility and practicality. Thanks to the adjustable cappuccino system and double drip tray, the barista-at-home can now prepare latte macchiato, caffelatte, hot milk, and flat white on top of espresso, lungo, cappuccino and tea. High performance. Electronically controlled temperature, customizable coffee length, machine ready to use within a few seconds, professional pump and filter holder. And even more style. Shiny metal, matt finishing touches and the embossed logo on drip tray give even more style to the unique dedica design. Details: designed in Italy. Thermoblock heating system: always the perfect brewing temperature. Fast heating time: 40 seconds. Self-priming system means the machine is always ready for use. Flow stop function to personalize your coffee length. 15-bar professional pump. Professional filter holder for ground coffee, 1 or 2 cups and e. S. E. Pod. Adjustable cappuccino system: perfect to prepare hot milk, milk froth for cappuccino, flat white and hot water for teas and infusions. Double drip tray: two-Level cup holder to house glasses and tall cups of up to 13 cm for long coffee and milk drinks. Slim dimensions: only 15 cm width. Full metal body. Cup warmer on top. Easy-to-use control panel with 3 illuminated buttons. On/Off button with automatic stand-by to save energy consumption after a period of non-use. Descaling alarm. Removable water tank. Removable drip tray with water level indicator. Anti-Drip system. Water filter, optional. Made in china"
Bosch MUM4427 Kitchen Machine MUM4 500 W - White,Bosch,food processors,4665.0,2023-01-09,4.6,2706,https://www.amazon.eg/Bosch-MUM4427-Kitchen-Machine-MUM4/dp/B000VSXPNU/ref=sr_1_12?qid=1673219955&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-12,Product description                        Package weight in KGs : 1                             Model Number : MUM4427                             External Product ID : 4242002681689                             Energy consumption : 500 W                             Type : Full Size Food Processor                             Brand : Bosch                             External Product ID Type : EAN-13                             Material : Plastic
Bosch MC812M844 Kitchen Black,Bosch,food processors,6120.0,2023-01-09,4.5,1536,https://www.amazon.eg/Bosch-MC812M844-Kitchen-Black/dp/B07HPRQJL1/ref=sr_1_23?qid=1673219957&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-23,Product description                     Bosch 800 Watts Food Processor
"Tefal Manual Chopper with Stainless Steel Blades, 900 ml, Black/Green - K1320404",Tefal,food processors,1500.0,2023-01-09,4.7,7320,https://www.amazon.eg/-/en/Tefal-Manual-Chopper-Stainless-Blades/dp/B07CQQG66F/ref=sr_1_50?qid=1673219961&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-50,Product description                     Tefal Non Electric Chopper K1320404 900Ml Bowl Capacity Chop Onions Herbs And Mix.
Full Size Food Processor - MUM4880-600 Watts,Bosch,food processors,6190.0,2023-01-09,4.5,1733,https://www.amazon.eg/-/en/Full-Size-Food-Processor-MUM4880-600/dp/B004MPQQ02/ref=sr_1_63?qid=1673219961&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-63,Product description                     600 Watt                          Safety Function                             4 Special Accessories
"Bosch MFQ40304 Hand Mixer - 500 Watt, Red & Silver",Bosch,mixers,1489.0,2023-01-09,4.6,1559,https://www.amazon.eg/-/en/Bosch-MFQ40304-Hand-Mixer-Silver/dp/B005J49SNW/ref=sr_1_16?qid=1673223302&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-16,"Product description                     The designer hand mixer for discerning customers with innovative FineCreamer whisks in red diamond Very quiet, lightweight and extremely powerful for more comfort when working Modern design for more enjoyment when baking Two innovative, highly efficient FineCreamer whisks made from stainless steel for perfect beating and mixing results Additional coupling for special accessories: blender foot or chopper Highly powerful 500 watts motor for best results."
Bosch MFQ3540 - hand mixer - white/grey,Bosch,mixers,1175.0,2023-01-09,4.5,9770,https://www.amazon.eg/-/en/Bosch-MFQ3540-hand-mixer-white/dp/B000IYEMYI/ref=sr_1_28?qid=1673223305&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-28,Product description                        450 Watt                             White / grey                             Modern motor technology: Powerful but at the same time light and quiet                             5 speed settings                             Additional pulse / turbo setting                             Heat resistant plastic foot with stainless steel blades                             Separate eject button for beaters and dough hooks                             Ergonomically designed plastic housing                             2 turbo beaters for perfect whisking                              and stirring results                             2 heavy duty stainless steel kneading hooks                             Easily detachable blender foot with eject button                             Possibility to attach a blender foot                             Mixing jug with calibration and lid                             Wrap around cable storage
Bosch Hand Mixer - 450W - MFQ36460,Bosch,mixers,1799.0,2023-01-09,4.5,2720,https://www.amazon.eg/-/en/Bosch-Hand-Mixer-450W-MFQ36460/dp/B008U8XHB8/ref=sr_1_62?qid=1673223309&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-62,"Product description                            Brand : Bosch                                 Package weight in KGs : 1.844                                 Material : Plastic                                 Model Number : MFQ36460                                 Type : Hand Mixers                                 Wattage : 450 Watt                                 Are batteries needed to power the product or is this product a battery : No                                 Is this a Dangerous Good or a Hazardous Material, Substance or Waste that is regulated for transportation, storage, and/or disposal? : No                                 External Product ID Type : EAN-13"
"Moulinex ABM11A30 Easy Max Hand Mixer 200 Watts, White",Moulinex,mixers,749.0,2023-01-09,4.5,2528,https://www.amazon.eg/-/en/Moulinex-ABM11A30-Mixer-Watts-White/dp/B004H1UZMG/ref=sr_1_86?qid=1673223313&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-86,"Product description                      The Moulinex Easy Max Hand Mixer is the perfect accessory to grace your kitchen with. The amazing line up of features that come together to form this device, certainly make it a must have item. The Moulinex hand mixer features is equipped with dishwasher safe parts to make cleaning and maintaining it a breezy affair. With a powerful 150W motor, this Moulinex mixer is instrumental in giving you very precise results. This device is ideal for beating, whipping, and folding batter.                         Key Features                         Color: White                         Power: 150W                         Material: Plastic                         Type: Hand Mixer                         Best Kitchen Aid                         The Moulinex Easy Max hand mixer is the perfect mix of convenience and functionality to give you the desired results each and every time. Featuring a speed control mechanism, you have the freedom to prepare your food using just one hand for enhanced convenience.                         Whisk Away to Glory                         The Moulinex mixer is 2 sets of whisks for beating eggs or whipping cream for you to choose one that best suits your needs. It has a compact design that requires very little storage space."
"Bosch MFQ4080 Hand Mixer With Chopper, 500 Watt - White",Bosch,mixers,2199.0,2023-01-09,4.3,1432,https://www.amazon.eg/-/en/Bosch-MFQ4080-Hand-Mixer-Chopper/dp/B00359PETK/ref=sr_1_88?qid=1673223313&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-88,"Product description                        Power: 500 Watt                             Modern Motor Technology: Powerful, Light And Quiet At The Same Time                             5 Speed Settings                             Additional Pulse / (Turbo Setting)                             Separate Eject Button For Beaters And Dough Hooks                             High-Quality Stainless Steel Foot                             Ergonomically Designed Plastic Housing                             Mixing Jug With Calibration And Lid                             2 Stainless Steel Fine Creamer Beaters For Perfect And Quickest Whisking And Stirring Results                             2 Heavy Duty Stainless Steel Kneading Hooks                             XL Chopper With Removable Stainless Steel Blades                             Wrap Around Cable Storage With Cable Clip"
"Ariete 200 Watt Pimmy Handheld Blender, Orange",Ariete,mixers,603.0,2023-01-09,4.2,2723,https://www.amazon.eg/-/en/Ariete-Pimmy-Handheld-Blender-Orange/dp/B0050IHIWK/ref=sr_1_112?qid=1673223315&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-112,Product description                           Power: 200 watts                                   2 speed                                   Stainless steel foot                                   stainless steel blade                                   Detachable stainless steel leg for easy cleaning                                   Comfortable rubber hook
"Breville VST083 Sandwich Toaster and Toastie Maker, 2-Slice, Non-Stick, 750 W, White and Stainless Steel",Breville,toasters,1399.0,2023-01-09,4.4,1561,https://www.amazon.eg/-/en/Breville-VST083-Sandwich-Non-Stick-Stainless/dp/B07S5G23P3/ref=sr_1_16?qid=1673224750&refinements=p_72%3A21909187031&rnid=21863827031&s=home-garden&sr=1-16,
"Taurus My Toast Duplo Toaster, 1450 W - White",Taurus,toasters,1599.0,2023-01-09,4.4,2080,https://www.amazon.eg/Taurus-Toast-Duplo-Toaster-1450/dp/B074K8BJ9D/ref=sr_1_18?qid=1673224752&refinements=p_72%3A21909187031&rnid=21863827031&s=home-garden&sr=1-18,Product description                        Brand: Taurus                             Model Name: My toast Duplo                             Color: White                             Item Weight: 1.9 Kg                             Product Dimensions: 40 x 15.5 x 19.5 cm                             Power: 1450 watts                             Voltage: 240 V                             Energy Efficiency Class: A                             Size of Slots: length 262mm / Wide 32mm                             Crumb tray and Cord holder
